#OTU	ZAM1_s1_YZA	ZAM1_s2_YZA	ZAM1_s3_YZA	ZAM1_s4_YZA	ZAM1_s5_YZA	ZAM1_s6_YZA	ZAM1_s7_YZA	ZAM1_s8_YZA	ZAM1_s9_YZA	ZAM1_s10_YZA	ZAM1_s11_OZA	ZAM1_s12_OZA	ZAM1_s13_OZA	ZAM1_s14_OZA	ZAM1_s15_OZA	ZAM1_s17_OZA	ZAM1_s18_OZA	ZAM1_s19_OZA	ZAM1_s20_YZS	ZAM1_s21_YZS	ZAM1_s22_YZS	ZAM1_s23_YZS	ZAM1_s24_YZS	ZAM1_s25_YZS	ZAM1_s26_YZS	ZAM1_s27_YZS	ZAM1_s28_YZS	ZAM1_s29_YZS	ZAM1_s30_OZS	ZAM1_s31_OZS	ZAM1_s32_OZS	ZAM1_s33_OZS	ZAM1_s34_OZS	ZAM1_s36_OZS	ZAM1_s37_OZS	ZAM1_s38_OZS	ZAM1_s39_YZA	ZAM1_s40_YZA	ZAM1_s41_YZA	ZAM1_s43_YZA	ZAM1_s44_YZA	ZAM1_s45_YZA	ZAM1_s46_YZA	ZAM1_s47_YZA	ZAM1_s48_YZA	ZAM1_s49_OZA	ZAM1_s50_OZA	ZAM1_s51_OZA	ZAM1_s52_OZA	ZAM1_s53_OZA	ZAM1_s54_OZA	ZAM1_s55_OZA	ZAM1_s56_OZA	ZAM1_s58_YZS	ZAM1_s59_YZS	ZAM1_s60_YZS	ZAM1_s61_YZS	ZAM1_s62_YZS	ZAM1_s63_YZS	ZAM1_s65_YZS	ZAM1_s66_YZS	ZAM1_s67_OZS	ZAM1_s69_OZS	ZAM1_s70_OZS	ZAM1_s71_OZS	ZAM1_s72_OZS	ZAM1_s73_OZS	ZAM1_s74_OZS	ZAM1_s75_OZS	ZAM2_s1_YZD	ZAM2_s2_YZD	ZAM2_s3_YZD	ZAM2_s4_YZD	ZAM2_s5_YZD	ZAM2_s6_YZD	ZAM2_s7_YZD	ZAM2_s8_YZD	ZAM2_s9_YZD	ZAM2_s10_YZD	ZAM2_s11_OZD	ZAM2_s12_OZD	ZAM2_s14_OZD	ZAM2_s15_OZD	ZAM2_s16_OZD	ZAM2_s17_OZD	ZAM2_s18_OZD	ZAM2_s19_OZD	ZAM2_s20_OZD	ZAM2_s21_YZA	ZAM2_s22_YZA	ZAM2_s23_YZA	ZAM2_s24_YZA	ZAM2_s25_YZA	ZAM2_s26_YZA	ZAM2_s27_YZA	ZAM2_s28_YZA	ZAM2_s29_YZA	ZAM2_s30_YZA	ZAM2_s31_OZA	ZAM2_s32_OZA	ZAM2_s34_OZA	ZAM2_s35_OZA	ZAM2_s36_OZA	ZAM2_s37_OZA	ZAM2_s38_OZA	ZAM2_s39_OZA	ZAM2_s40_YZD	ZAM2_s41_YZD	ZAM2_s42_YZD	ZAM2_s43_YZD	ZAM2_s44_YZD	ZAM2_s45_YZD	ZAM2_s46_YZD	ZAM2_s47_YZD	ZAM2_s48_YZD	ZAM2_s49_YZD	ZAM2_s50_OZD	ZAM2_s51_OZD	ZAM2_s53_OZD	ZAM2_s54_OZD	ZAM2_s55_OZD	ZAM2_s56_OZD	ZAM2_s57_OZD	ZAM2_s58_OZD	ZAM2_s59_OZD	ZAM2_s60_YZA	ZAM2_s61_YZA	ZAM2_s63_YZA	ZAM2_s64_YZA	ZAM2_s65_YZA	ZAM2_s66_YZA	ZAM2_s67_YZA	ZAM2_s69_YZA	ZAM2_s70_OZA	ZAM2_s71_OZA	ZAM2_s72_OZA	ZAM2_s73_OZA	ZAM2_s74_OZA	ZAM2_s75_OZA	ZAM2_s76_OZA	ZAM2_s77_OZA	ZAM2_s78_OZA
ASV1	42	124	77	154	70	75	57	61	90	90	18085	14011	14220	13005	16356	16238	9653	14368	159	97	127	152	45	58	62	146	62	80	15061	11386	13214	12054	15570	15662	8742	11686	8	12298	73	77	130	226	93	89	11244	13652	17921	13625	13292	11894	14694	13609	16800	113	89	107	80	96	49	200	50	16497	15019	7226	10908	13001	18871	16553	16661	50	61	52	94	85	65	41	66	66	39	14519	22473	6948	12840	15897	11827	15235	11012	12924	39	28	54	68	40	85	81	53	89	76	19445	20037	8731	21824	17226	15985	10842	9025	65	43	58	69	50	55	41	21	37	37	12224	15785	3167	4603	15021	19118	17533	13059	11985	67	66	63	23	47	51	15390	44	12205	18819	12290	10963	12119	16668	10189	12344	12416
ASV2	11933	19688	15528	12960	16682	14942	13310	17797	13962	18325	38	36	34	5	39	11	27	33	15407	17293	10539	15047	11199	13328	13849	12053	16257	14079	47	17	38	4482	54	25	6	40	9823	5187	8770	12359	18125	20662	22016	23507	5376	47	19	34	40	21	161	50	38	19494	16874	10364	14041	15854	6621	21707	7064	78	29	4947	15	25	52	55	40	13059	14217	10072	16560	16485	15141	11054	15013	13767	15289	13	52	11	23	45	3	18	23	20	20727	14402	23733	20777	22779	22742	16689	18598	22724	18166	32	29	25	30	10	18	23	16	11838	14447	8364	15034	12688	17443	10595	7714	11606	11476	32	41	6	2562	23	27	39	13	7	15551	20375	18058	13260	16435	18726	1835	21097	27	36	27	16	8	13	12	0	25
ASV3	8967	2884	8452	3715	5856	4979	8971	676	5222	1609	4077	7965	17	12	5483	13	9991	6272	5404	1394	9679	6575	8872	7919	5724	5340	4446	5920	7504	13	6273	31	5152	0	8025	20	7025	4512	7607	7747	4910	1503	742	605	7112	6856	15	18	5921	5696	38	8738	4099	1171	5413	8618	8335	118	6706	2599	5503	5240	4787	19	7032	3301	23	4053	32	6878	7673	7484	5543	5471	7187	8386	8232	7709	4217	5938	1150	7952	0	25	6	7992	6396	6932	2866	5233	882	1783	1731	1737	2833	2957	798	3615	2948	4014	11473	11	0	7177	9640	17	8514	4741	8507	7899	7616	5327	7004	13724	7014	7391	5346	5157	11201	22	18	2	5130	7017	7071	5481	1441	2099	4351	1646	2098	3281	1999	4431	3504	10300	10858	5153	0	3117	9862	17
ASV4	2377	1422	325	2196	1769	1974	2328	3180	2311	3338	6	0	5	0	4	1	7	6	1553	3800	2176	1890	2674	2743	2261	2380	2505	2341	9	2	6	10	0	0	3	8	2266	635	472	1420	501	108	273	165	860	9	4	6	6	7	33	6	0	793	968	1233	538	506	2441	310	5399	33	8	8	0	6	6	5	9	1579	1305	4282	1923	1383	1088	3417	1562	1303	1991	2	1	3	0	0	0	0	2	3	856	3094	355	1318	240	430	1447	946	825	1183	2	0	0	0	0	0	0	0	1853	3107	3360	1009	1429	1840	5791	2668	2810	3031	0	552	0	801	0	0	0	0	0	872	1350	1461	2930	6525	2094	2436	939	14	0	0	0	0	0	0	0	1
ASV5	0	0	0	5	0	0	0	0	0	0	0	0	4937	8647	0	3238	0	0	0	0	9	7	0	0	0	0	0	0	0	8088	0	5321	0	5486	0	5966	0	0	1	0	0	0	0	0	0	0	2252	6838	0	0	0	3	0	0	0	0	0	0	0	3	0	8	0	5844	0	3	2590	3	2978	87	76	48	73	84	70	39	71	75	39	50	53	112	40	7535	11399	66	56	80	42	39	36	41	30	45	75	46	56	80	69	76	71	39	6480	58	86	6723	90	55	93	82	67	53	39	46	59	48	79	109	65	3021	8079	5170	74	56	48	54	44	52	0	35	33	85	41	38	63	107	83	17	7093	36	23	7004
ASV6	218	106	444	1354	445	1069	20	45	106	253	0	0	0	0	0	0	0	0	164	321	502	198	221	159	248	108	178	83	0	0	0	1	0	0	0	0	370	60	332	206	81	42	9	46	9	0	0	0	2	0	4	0	0	210	116	561	389	94	345	16	36	0	0	0	0	0	1	0	0	454	467	297	282	310	655	455	142	190	561	180	152	766	2466	0	0	0	0	0	349	516	120	58	362	195	1192	659	348	955	171	299	2390	10	0	0	0	0	82	260	1291	12	319	254	207	350	349	467	5	13	54	20	0	0	0	0	0	790	196	89	770	213	266	285	257	119	0	0	204	461	0	0	0	0
ASV7	175	4	1	758	0	197	0	0	189	0	0	0	658	0	0	0	0	0	69	299	1000	26	1409	0	246	0	0	0	0	0	0	0	0	250	513	0	380	167	510	0	585	91	0	113	0	0	23	0	0	0	0	0	0	508	190	1594	357	0	760	0	547	1	214	3525	0	0	87	0	0	0	0	0	0	0	243	291	36	762	773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	1491	748	69	210	0	0	0	0	0	0	0	0	0	0	0	0	0	98	201	255	715	432	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1795	261	137	0	0	0	0	0	0	7	0	0
ASV8	97	225	110	42	0	692	0	203	835	40	0	0	0	0	0	0	0	0	550	80	0	666	142	589	520	819	748	778	0	0	0	0	0	0	0	0	0	197	205	464	178	0	35	75	0	0	0	0	0	0	0	0	0	106	156	465	186	137	403	0	1835	16	0	0	0	0	0	0	0	0	0	0	0	201	0	157	0	223	78	0	0	0	0	0	0	0	0	0	0	232	95	0	0	0	0	295	0	42	0	0	0	0	0	0	0	0	48	0	0	0	67	0	152	0	859	315	0	0	0	0	0	0	0	0	0	0	227	0	769	0	0	828	160	0	0	0	0	0	0	0	0	0
ASV9	0	0	0	4	3	0	0	0	1	0	63	27	1614	25	126	704	13	83	0	0	0	1	2	2	0	1	0	1	20	6	29	9	12	15	36	435	0	0	4	0	1	0	3	0	0	32	1377	9	630	413	0	46	12	0	0	0	0	2	5	5	0	11	1106	4	136	43	31	54	52	0	0	0	0	0	0	0	0	0	0	31	57	13	38	162	15	35	14	100	0	0	0	0	0	0	0	0	0	0	360	9	1	16	42	5	4	14	0	0	0	0	0	0	0	0	0	0	39	64	509	2639	34	9	230	65	458	0	0	0	0	0	0	0	0	0	101	305	44	26	32	580	12	545
ASV10	0	0	0	0	0	0	0	0	0	0	110	150	333	270	0	60	0	0	0	0	0	0	0	0	0	0	0	0	210	0	287	33	398	4	762	1333	0	0	0	0	0	0	0	0	0	203	226	45	0	0	10	0	0	0	0	0	0	0	0	0	0	186	126	227	279	0	260	589	1161	0	0	0	0	0	0	0	0	0	0	0	11	96	937	0	101	237	493	341	0	19	0	0	0	0	0	11	0	0	0	4	9	240	199	150	109	648	431	261	0	0	0	0	0	0	0	0	0	5	84	0	22	39	332	634	453	0	202	114	56	79	18	147	0	0	27	0	23	851	43	2604	320	425
