node	term	estimate	std.error	z.value	p.value	exclude	p.value.adj	p.value.adj.signif	taxonomy
node1	(Intercept)	8.487678298658418	0.08102664121705018	104.75169859160326	0		0	****	k__Bacteria
node1	Ageyoung	-0.9307764913315368	0.11151032573446759	-8.34699822819938	7.001976801759998e-17		1.7395914683957366e-16	****	k__Bacteria
node2	(Intercept)	2.279942616244286	0.18337636917395927	12.433132068840491	1.7273145735257004e-35		5.08283550734202e-35	****	p__Actinobacteria
node2	Ageyoung	-1.2221523220964314	0.25871350742656396	-4.72396023792202	2.312956588438613e-6		3.740321690312892e-6	****	p__Actinobacteria
node3	(Intercept)	2.2799426162442855	0.17240505824478444	13.224337147969136	6.349451493224767e-40		1.973552455469863e-39	****	f__Eggerthellaceae
node3	Ageyoung	-1.9823102129393375	0.25458519894050674	-7.786431501866602	6.8928261765810574e-15		1.6120681416238436e-14	****	f__Eggerthellaceae
node4	(Intercept)	2.2457778027532096	0.17373318917569125	12.92659055767474	3.186383035804783e-38		9.694165337745061e-38	****	f__Eggerthellaceae
node4	Ageyoung	-1.9481453994482598	0.25619644702826033	-7.604107793241041	2.86876073024246e-14		6.416729608455097e-14	****	f__Eggerthellaceae
node5	(Intercept)	1.5636283764028065	0.2967526031983969	5.26913111982855	1.370710295728848e-7		2.406283599836951e-7	****	g__Enterorhabdus
node5	Ageyoung	-1.5116686374720947	0.4202350349465505	-3.59719802434931	3.216635974099167e-4		4.6190892588064036e-4	***	g__Enterorhabdus
node6	(Intercept)	8.485662476082133	0.08106208394066769	104.68103043456298	0		0	****	k__Bacteria
node6	Ageyoung	-0.9302665776395505	0.11155910831595708	-8.338777457819532	7.506252704479209e-17		1.8520582274282035e-16	****	k__Bacteria
node7	(Intercept)	8.470364386106452	0.08140175156203405	104.05629146261575	0		0	****	k__Bacteria
node7	Ageyoung	-0.914975464740689	0.11202621755133202	-8.16751189802007	3.1481470455101594e-16		7.636383711744239e-16	****	k__Bacteria
node8	(Intercept)	8.263324971935681	0.09184681044229145	89.9685566885051	0		0	****	o__Clostridiales
node8	Ageyoung	-0.9580650745240475	0.12640163448360353	-7.5795307429218814	3.468070194885636e-14		7.685414814592242e-14	****	o__Clostridiales
node9	(Intercept)	5.3060485974447715	0.13435223713501374	39.4935634165332	0		0	****	o__Clostridiales
node9	Ageyoung	-1.250213889984547	0.18531176892891493	-6.7465433912301895	1.514088019795874e-11		3.114943261356555e-11	****	o__Clostridiales
node10	(Intercept)	4.747395024157438	0.12741633171383226	37.258920895790176	7.597910720800688e-304		6.12955044666842e-303	****	o__Clostridiales
node10	Ageyoung	-1.0611857985993816	0.17594512206115948	-6.031345377284786	1.6260025659415875e-9		3.0967369823502914e-9	****	o__Clostridiales
node11	(Intercept)	3.5776977161964933	0.17273814878192228	20.71168263307748	2.7179504978126058e-95		1.154726897887249e-94	****	o__Clostridiales
node11	Ageyoung	-1.42748710362845	0.24015500937808484	-5.9440238507834104	2.7810910900875828e-9		5.26866333161711e-9	****	o__Clostridiales
node12	(Intercept)	2.4972677466115747	0.2424185645933362	10.301470726059327	6.939215905626716e-25		1.8730665489623993e-24	****	f__Clostridiales_vadinBB60_group
node12	Ageyoung	-0.7864773399171868	0.33552532531350027	-2.3440178149960413	0.019077260149279195		0.024547442270936314	*	f__Clostridiales_vadinBB60_group
node13	(Intercept)	2.4972677466115747	0.23338086911736378	10.700396120967978	1.0134404669925759e-26		2.798654828079498e-26	****	f__Clostridiales_vadinBB60_group
node13	Ageyoung	-1.3382923082163731	0.32589894996266916	-4.106464007845594	4.017620298751257e-5		6.163784988255134e-5	****	f__Clostridiales_vadinBB60_group
node14	(Intercept)	2.2330590303454354	0.2641700971604764	8.453110531238176	2.8364292310899253e-17		7.07137565250891e-17	****	f__Clostridiales_vadinBB60_group
node14	Ageyoung	-1.0740835919502354	0.36726369898962474	-2.9245569189253806	0.0034494698902966746		0.004620745114240695	**	f__Clostridiales_vadinBB60_group
node15	(Intercept)	2.2298538993964874	0.29020337963364534	7.683762684678137	1.5448272065826945e-14		3.5100820706530844e-14	****	f__Clostridiales_vadinBB60_group
