"","OTU","Sample","Abundance","sample_Sample","host_subject_id","Timepoint","Site","Diet","Age","agexdiet","serum_zinc","wk6_plasma_MCP","wk6_WB_LPS_IL6","MLN_IL17","MLN_IFNg","MLN_CD4_naive","Study","agexstudy","agexdietxweek","agexdietxstudy","Kingdom","Phylum","Class","Order","Family","Genus"
"1328","ASV2","ZAM2_s23_YZA",93.4213456982607,"ZAM2_s23_YZA","ZAM2_23","wk0","fecal_wk0","adequate","young","YZA",0.55,15.5,232.6,41.3,186.1,85.8,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1299","ASV2","ZAM1_s47_YZA",92.4093788779309,"ZAM1_s47_YZA","ZAM1_9","wk6","fecal_wk6","adequate","young","YZA",0.56,21.9,506.9,21.7,320,79,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1286","ASV2","ZAM2_s25_YZA",89.5988950912125,"ZAM2_s25_YZA","ZAM2_25","wk0","fecal_wk0","adequate","young","YZA",0.66,0,156.2,NA,NA,NA,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1319","ASV2","ZAM2_s26_YZA",89.5908925979681,"ZAM2_s26_YZA","ZAM2_26","wk0","fecal_wk0","adequate","young","YZA",0.57,11.8,115.1,58.1,207.4,82.9,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1323","ASV2","ZAM2_s29_YZA",89.0716217153158,"ZAM2_s29_YZA","ZAM2_29","wk0","fecal_wk0","adequate","young","YZA",0.73,9.2,275.9,17.7,417.3,80.1,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"70","ASV1","ZAM2_s12_OZD",88.2912282675969,"ZAM2_s12_OZD","ZAM2_12","wk0","fecal_wk0","deficient","old","OZD",0.75,27,474.1,1463.5,2109.9,18.56,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1281","ASV2","ZAM1_s46_YZA",86.5524071711542,"ZAM1_s46_YZA","ZAM1_8","wk6","fecal_wk6","adequate","young","YZA",0.64,0,644.1,21.9,207.8,82.3,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"101","ASV1","ZAM2_s35_OZA",86.3385637016012,"ZAM2_s35_OZA","ZAM2_35","wk0","fecal_wk0","adequate","old","OZA",NA,NA,NA,NA,NA,NA,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"1408","ASV2","ZAM1_s65_YZS",85.8600871383966,"ZAM1_s65_YZS","ZAM1_28","wk6","fecal_wk6","supplemented","young","YZS",0.79,0,571.8,85,211.9,89.1,"ZAM1","young_ZAM1","wk6_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1376","ASV2","ZAM2_s69_YZA",82.6517661989706,"ZAM2_s69_YZA","ZAM2_30","wk6","fecal_wk6","adequate","young","YZA",0.72,0,384.5,21.4,233.4,87.3,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
