Genus	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
Acetanaerobacterium	Abundance	old	young	67	75	3675	5.03e-11	4.455142857142857e-10	****
Acetatifactor	Abundance	old	young	67	75	3481	7.16e-5	1.5667764705882355e-4	***
Adlercreutzia	Abundance	old	young	67	75	3438	3.26e-7	1.188941176470588e-6	****
Akkermansia	Abundance	old	young	67	75	2802	0.238	0.2682909090909091	ns
Alistipes	Abundance	old	young	67	75	1876	1.12e-5	2.8933333333333333e-5	****
Anaeroplasma	Abundance	old	young	67	75	4529	1.28e-18	2.9759999999999996e-17	****
Anaerotruncus	Abundance	old	young	67	75	3926	7.73e-9	3.8858918918918924e-8	****
Anaerovorax	Abundance	old	young	67	75	4087.5	1.51e-15	2.8086000000000004e-14	****
ASF356	Abundance	old	young	67	75	3264	0.00145	0.0026184466019417477	**
Bacteroides	Abundance	old	young	67	75	3	1.1499999999999999e-24	1.147e-22	****
Bifidobacterium	Abundance	old	young	67	75	2110.5	6.71e-4	0.0012866597938144331	**
Blautia	Abundance	old	young	67	75	2700	0.0167	0.021874647887323944	*
Butyricicoccus	Abundance	old	young	67	75	4106	1.94e-15	3.280363636363636e-14	****
Candidatus_Soleaferrea	Abundance	old	young	67	75	3937.5	7.97e-14	9.882800000000001e-13	****
Caproiciproducens	Abundance	old	young	67	75	3783	9.81e-8	3.8822553191489364e-7	****
Clostridiales_vadinBB60_group_Genus_ASV111	Abundance	old	young	67	75	2326.5	0.0874	0.10488	ns
Clostridiales_vadinBB60_group_Genus_ASV118	Abundance	old	young	67	75	2925	2.81e-4	5.681086956521739e-4	***
Clostridiales_vadinBB60_group_Genus_ASV129	Abundance	old	young	67	75	2925	2.81e-4	5.681086956521739e-4	***
Clostridiales_vadinBB60_group_Genus_ASV130	Abundance	old	young	67	75	2177.5	0.00206	0.0035809345794392527	**
Clostridiales_vadinBB60_group_Genus_ASV159	Abundance	old	young	67	75	2211	0.00358	0.005841052631578947	**
Clostridiales_vadinBB60_group_Genus_ASV171	Abundance	old	young	67	75	3075	1.67e-5	4.197567567567568e-5	****
Clostridiales_vadinBB60_group_Genus_ASV182	Abundance	old	young	67	75	2850	0.00111	0.002024117647058824	**
Clostridiales_vadinBB60_group_Genus_ASV187	Abundance	old	young	67	75	2852	0.014	0.01900729927007299	*
Clostridiales_vadinBB60_group_Genus_ASV190	Abundance	old	young	67	75	2716.5	0.266	0.29450000000000004	ns
Clostridiales_vadinBB60_group_Genus_ASV217	Abundance	old	young	67	75	1973	1.39e-4	2.971724137931034e-4	***
Clostridiales_vadinBB60_group_Genus_ASV225	Abundance	old	young	67	75	2387.5	0.203	0.23164417177914112	ns
Clostridiales_vadinBB60_group_Genus_ASV249	Abundance	old	young	67	75	2775	0.00432	0.0066960000000000006	**
Clostridiales_vadinBB60_group_Genus_ASV250	Abundance	old	young	67	75	3075	1.67e-5	4.197567567567568e-5	****
Clostridiales_vadinBB60_group_Genus_ASV258	Abundance	old	young	67	75	2199.5	0.0272	0.034416326530612246	*
Clostridiales_vadinBB60_group_Genus_ASV376	Abundance	old	young	67	75	2594.5	0.339	0.36659302325581394	ns
Clostridiales_vadinBB60_group_Genus_ASV424	Abundance	old	young	67	75	2700	0.0167	0.021874647887323944	*
Clostridiales_vadinBB60_group_Genus_ASV93	Abundance	old	young	67	75	2589	0.714	0.7296923076923076	ns
Clostridium_sensu_stricto_1	Abundance	old	young	67	75	3625	7.53e-9	3.8858918918918924e-8	****
Defluviitaleaceae_UCG-011	Abundance	old	young	67	75	2180.5	0.0446	0.05493774834437087	ns
Dielma	Abundance	old	young	67	75	2700	0.0167	0.021874647887323944	*
Dubosiella	Abundance	old	young	67	75	1993	0.0294	0.03694864864864865	*
Eggerthella	Abundance	old	young	67	75	2812.5	0.00219	0.003604778761061947	**
Eisenbergiella	Abundance	old	young	67	75	3122	0.00499	0.007607704918032786	**
Enterococcus	Abundance	old	young	67	75	2492	0.9	0.9048648648648648	ns
Enterorhabdus	Abundance	old	young	67	75	3281.5	2.33e-4	4.8694382022471913e-4	***
Erysipelatoclostridium	Abundance	old	young	67	75	3396.5	2.98e-4	5.96e-4	***
Erysipelotrichaceae_Genus_ASV231	Abundance	old	young	67	75	1842.5	6.08e-6	1.7134545454545455e-5	****
Erysipelotrichaceae_Genus_ASV255	Abundance	old	young	67	75	2887	0.00153	0.002736346153846154	**
Erysipelotrichaceae_Genus_ASV383	Abundance	old	young	67	75	2737.5	0.00848	0.011770746268656715	*
Erysipelotrichaceae_Genus_ASV390	Abundance	old	young	67	75	2739	0.0208	0.026866666666666667	*
Erysipelotrichaceae_Genus_ASV415	Abundance	old	young	67	75	2700	0.0167	0.021874647887323944	*
Escherichia/Shigella	Abundance	old	young	67	75	2775	0.00432	0.0066960000000000006	**
Faecalibaculum	Abundance	old	young	67	75	3581	8.47e-7	2.81325e-6	****
