	ZAM2_s1_YZD	ZAM2_s2_YZD	ZAM2_s3_YZD	ZAM2_s4_YZD	ZAM2_s5_YZD	ZAM2_s6_YZD	ZAM2_s7_YZD	ZAM2_s8_YZD	ZAM2_s9_YZD	ZAM2_s10_YZD	ZAM2_s11_OZD	ZAM2_s12_OZD	ZAM2_s14_OZD	ZAM2_s15_OZD	ZAM2_s16_OZD	ZAM2_s17_OZD	ZAM2_s18_OZD	ZAM2_s19_OZD	ZAM2_s20_OZD	ZAM2_s21_YZA	ZAM2_s22_YZA	ZAM2_s23_YZA	ZAM2_s24_YZA	ZAM2_s25_YZA	ZAM2_s26_YZA	ZAM2_s27_YZA	ZAM2_s28_YZA	ZAM2_s29_YZA	ZAM2_s30_YZA	ZAM2_s31_OZA	ZAM2_s32_OZA	ZAM2_s34_OZA	ZAM2_s35_OZA	ZAM2_s36_OZA	ZAM2_s37_OZA	ZAM2_s38_OZA	ZAM2_s39_OZA	ZAM2_s40_YZD	ZAM2_s41_YZD	ZAM2_s42_YZD	ZAM2_s43_YZD	ZAM2_s44_YZD	ZAM2_s45_YZD	ZAM2_s46_YZD	ZAM2_s47_YZD	ZAM2_s48_YZD	ZAM2_s49_YZD	ZAM2_s50_OZD	ZAM2_s51_OZD	ZAM2_s53_OZD	ZAM2_s54_OZD	ZAM2_s55_OZD	ZAM2_s56_OZD	ZAM2_s57_OZD	ZAM2_s58_OZD	ZAM2_s59_OZD	ZAM2_s60_YZA	ZAM2_s61_YZA	ZAM2_s63_YZA	ZAM2_s64_YZA	ZAM2_s65_YZA	ZAM2_s66_YZA	ZAM2_s67_YZA	ZAM2_s69_YZA	ZAM2_s70_OZA	ZAM2_s71_OZA	ZAM2_s72_OZA	ZAM2_s73_OZA	ZAM2_s74_OZA	ZAM2_s75_OZA	ZAM2_s76_OZA	ZAM2_s77_OZA	ZAM2_s78_OZA
ZAM2_s1_YZD	0.0	0.15240001194782024	0.25428188333469903	0.21055564443566335	0.3676288620383448	0.23472953543168015	0.2771556992846328	0.21943783542252762	0.2927751382943083	0.27930460444207345	2.071885013898783	1.594635638404256	1.910712315140802	1.7398127534464758	2.0181833843170676	2.1880187763912784	1.8613564763189492	2.192069554961463	1.944430341397799	0.26708959727135606	0.3698648318593857	0.4461691844725638	0.27725258234861333	0.2759372609514777	0.49206633970923314	0.2278102710925516	0.3084926197809142	0.23658239973229717	0.3638696219093916	1.7754300407803039	1.2013508486230726	1.3104052329266669	2.0660623574097188	1.6719781992177045	1.821946948952421	1.6247755154422188	2.2269606988849477	0.22992815266066544	0.34178831187381253	0.052667038721294	0.1400120787315927	0.11596159310253416	0.31102140455823957	0.4290556976897401	0.2157869957018919	0.36371817466599754	0.3151766938854641	1.980535687028883	1.2294970435489998	1.851931788798991	1.2159226297998025	2.006617531323135	2.0296215945365135	1.7672401150173853	2.1195870041492317	2.156496361411427	0.16498519031902267	0.054720288129539336	0.16648282962264502	0.39471434453937676	0.5021180383800523	0.46893742339942546	0.5084993075669174	0.4106839503503996	1.4925186743280028	1.543116702940907	1.542384544883468	1.6628843036037533	2.011847001127159	1.9213497486429092	2.2315820421537027	1.5924674759556299	2.364186408531683
ZAM2_s2_YZD	0.15240001194782024	0.0	0.10372737911821642	0.11967127787203408	0.24763454792848805	0.16964096488429797	0.12477440298311197	0.12168928590968238	0.15074579691233272	0.13065311399160334	2.2127604650684796	1.7281296137028905	2.0525812976462032	1.8788310989333679	2.143921995895204	2.310192925081735	2.0007612933099286	2.332617947203113	2.082723653308886	0.1584221258905158	0.21942941128192545	0.3634067342961801	0.1939340369659209	0.18705373598289696	0.4246211742407937	0.07868253887098654	0.1631058473510825	0.1651850473850364	0.2832567124632355	1.9088969228350572	1.3294577260008558	1.4489531994857874	2.1933263726352297	1.8085755592055346	1.9625156321593484	1.766463630267391	2.3621946450673588	0.2977701102182156	0.23326218409587274	0.19436079962077385	0.2286113223252016	0.266395506619839	0.1742273136264566	0.2937002027258944	0.09401057404884952	0.21132410506674315	0.17819882312344562	2.121792157394403	1.3621659875976404	1.9892216097349222	1.342638627208359	2.1316802767202914	2.1578717873937743	1.9036032683620687	2.2571068329852375	2.295228049834288	0.29657188066712736	0.09827796777289632	0.19933501242873083	0.25083894722487166	0.3877147795600161	0.32400209766518223	0.6483228964055856	0.2841691261559704	1.6183148127227032	1.6775746951657893	1.6836494116577845	1.8010225217418854	2.153591839925275	2.0604352228090175	2.366208481263859	1.7319127757580868	2.4992420437327616
ZAM2_s3_YZD	0.25428188333469903	0.10372737911821642	0.0	0.16281561620008836	0.21886609045823194	0.21448889469156623	0.03278055960900957	0.15738493828306666	0.05855023671590699	0.07094229730484224	2.3156084029795525	1.8291198568775187	2.1556517288604358	1.981294117167798	2.2421298285372333	2.4069748565200473	2.103297334064908	2.435381279845908	2.184970515373118	0.16631345566399033	0.11582656462979325	0.3615170663381376	0.21717440130181614	0.20696779214160724	0.43121220910257324	0.05901333651757588	0.1038607318325713	0.2066253011298571	0.29205488270007995	2.0098156614553604	1.4289984173687187	1.5514050623983522	2.2920692997085035	1.9104302660314156	2.0653245422644226	1.8695298401293634	2.463539025696304	0.3870053530379407	0.221539928446746	0.29186862902462074	0.32678675264251644	0.3655609634453207	0.13312380025113701	0.23646211271275805	0.1187335670923005	0.11405757352177658	0.08974766527934402	2.224731006908976	1.4630921248042936	2.0912217600461362	1.4417094204905294	2.2296436521448335	2.2569793199815424	2.0053697818830383	2.3591215378254597	2.3975563989856674	0.3996007412903644	0.20119950454051003	0.2862307381536022	0.18133595486636528	0.35178388199453153	0.24744451563823824	0.7514616942742793	0.24144747349390752	1.716837909670303	1.7788688329697178	1.7866436561230072	1.9032831703599842	2.2566283906768976	2.162884819065072	2.467368456521796	1.8345046173022588	2.600508810367785
ZAM2_s4_YZD	0.21055564443566335	0.11967127787203408	0.16281561620008836	0.0	0.15824588522523145	0.053154325144378976	0.158177856386975	0.010944283166301338	0.22134318897790203	0.12655938347798887	2.193204957745888	1.6972552114825656	2.0354008034864477	1.8566170877871195	2.1010079212302286	2.26252418311289	1.9789068972333803	2.3121750164214414	2.0586393309725635	0.05748674184879266	0.2522385721634893	0.2479663905012047	0.07544946256525129	0.07024235228137311	0.306062018087414	0.1038418644513011	0.13625295320148662	0.046832387859490385	0.16604092968858367	1.8773652022950775	1.2929220902613252	1.4276163373379698	2.152263835433841	1.7823642659767167	1.9429721955808565	1.7497443230915195	2.332314857628994	0.24170003080730787	0.13128175103713988	0.26271919752999184	0.20649040013833067	0.32200414642172726	0.12038680559750285	0.22695087422955873	0.04441217808904907	0.22134423641603182	0.25254981046252467	2.103199437490938	1.331819271241434	1.963630856881685	1.3041933703229496	2.0879434480932386	2.1182034822009235	1.8766965263638664	2.2312611103370807	2.2714494573100903	0.2978264201917804	0.16377962434246596	0.14498662676628885	0.20674065676465708	0.29165216090270585	0.2785972748822213	0.638775034069631	0.2029281900868928	1.57721251390059	1.6483849397687675	1.6663736964159008	1.777481685476386	2.135916119100887	2.037836581741482	2.3353508563485197	1.7109711937879026	2.4688199717859
ZAM2_s5_YZD	0.3676288620383448	0.24763454792848805	0.21886609045823194	0.15824588522523145	0.0	0.15653098882880526	0.19116516220337043	0.14861250732460382	0.2616779886901601	0.14796583861398424	2.310917442413373	1.806113329529162	2.1555556298726546	1.9729257242784048	2.195744689507439	2.3512786384915327	2.0951523818863103	2.42883523299828	2.172638513707642	0.10084822416735464	0.234395308009872	0.15174134707009596	0.11345473518646382	0.10738184033093041	0.22502697696911841	0.18153101977678218	0.11809645839122354	0.14938899363198538	0.10936505641690772	1.984861279419729	1.398514818251149	1.5465047703882404	2.2488939016810163	1.895303634648412	2.061357261744083	1.871149538099322	2.440098941378345	0.3621695878930736	0.03902140699699556	0.41914533449408214	0.35254263640063416	0.4801732120984822	0.08575685816705754	0.08160149834208118	0.15674030685894927	0.18686487914602692	0.2873202208526126	2.221969866690574	1.44317050081251	2.076522346626128	1.4077524557181338	2.181797437748262	2.216463014092764	1.988645854412019	2.343169830149873	2.385184220547504	0.4476133546531533	0.3180603264236037	0.2824566038581655	0.10176675447534521	0.14009909450418864	0.1490217029496655	0.7741681025623813	0.04649482976422911	1.6761840103979944	1.7590802852719722	1.7876186703161712	1.892879507399409	2.255394840886505	2.1532448912263344	2.4421607208222302	1.8289208444531901	2.5757596489916423
ZAM2_s6_YZD	0.23472953543168015	0.16964096488429797	0.21448889469156623	0.053154325144378976	0.15653098882880526	0.0	0.20688432016897204	0.05711980101382167	0.27281322116796386	0.17067646426007177	2.1656954781939572	1.6658786793916462	2.008954897544883	1.8283803609185048	2.064850282823835	2.2246021739747337	1.9506871289579524	2.284233382056023	2.02948727143649	0.0719361502332141	0.2966433385571523	0.2118255541741607	0.04584992558753469	0.04935367164930862	0.2631477985189997	0.15553259941584913	0.17233526059344273	0.009300073684071502	0.12924126263681732	1.8455488160927433	1.260026054772142	1.4003247804803516	2.116733060085738	1.7526657609556622	1.9156874275333622	1.7237879714636206	2.30076472553099	0.21158878462599648	0.12107352047691627	0.2873225781683117	0.19626113664356495	0.338571577497429	0.1478840864355982	0.234714385420463	0.09585812493308477	0.2613744740002677	0.30399013201044367	2.076139133083242	1.3012020153410264	1.9339853842064227	1.2705592981374052	2.0515025759327234	2.083196522365048	1.8466316945086332	2.2013009540681696	2.242250444222186	0.29173314559600894	0.19553562602103688	0.1259729491605973	0.22809933028129578	0.27529490246349375	0.29480978721989165	0.6198204479370021	0.20301796348012152	1.5421820251049183	1.6177082206937887	1.640306686777828	1.7488182585808187	2.1091876096662032	2.0092750303691793	2.3034336912996545	1.6834006224633256	2.4369868862452164
ZAM2_s7_YZD	0.2771556992846328	0.12477440298311197	0.03278055960900957	0.158177856386975	0.19116516220337043	0.20688432016897204	0.0	0.15092017224511675	0.07282245304778925	0.04487035701303489	2.3301716119145284	1.840853505795006	2.170738388932991	1.9951588289568472	2.2508186632941056	2.414378721863322	2.117274458036451	2.4497550360811737	2.1984299429812486	0.15047013339685997	0.09950710655294294	0.3372643798605646	0.20284001626379988	0.1921451076271574	0.4082149114738464	0.05931806760612604	0.07384038497647061	0.19835153069978587	0.2714223516964237	2.021418798009691	1.4392344644289354	1.565345625844223	2.3012538836587937	1.9233211463412223	2.0798390110538825	1.8846484500351073	2.4756167810103045	0.39225897818591304	0.1975942009071401	0.3174841750052376	0.33818679311336364	0.39046392527612456	0.10580318365368152	0.2042337210508473	0.11406435847623377	0.08673548617941229	0.10207132626181808	2.2395030126571713	1.474861103722178	2.1042998460604028	1.4514686184727332	2.2381113826758527	2.266529032557523	2.0181117545168212	2.3721822073634122	2.4111249036559608	0.4157959298612749	0.2230025144596698	0.2917133048045015	0.14859297421445528	0.3213502958309562	0.2149201858072223	0.7672191728439867	0.2108991489534176	1.725960639071048	1.7910057523156702	1.8016082025964282	1.9168136135008385	2.2716213145705515	2.1766965857642466	2.4792015539631245	1.8486319086971486	2.6124654374079865
ZAM2_s8_YZD	0.21943783542252762	0.12168928590968238	0.15738493828306666	0.010944283166301338	0.14861250732460382	0.05711980101382167	0.15092017224511675	0.0	0.21575537105023604	0.11764986659740101	2.203731189954893	1.7074724270201131	2.045991102708748	1.8670887466676624	2.1107164884397656	2.271994354678433	1.9893819648238675	2.3226740125400998	2.0690481401440257	0.047775738690784546	0.24366321680339692	0.24325601047575812	0.07224519253269761	0.06569353121255059	0.3029919424299254	0.09841440895035845	0.12596668474740844	0.049554808973212905	0.1620244330470401	1.887546434507053	1.302978886541807	1.4381410709035356	2.16205196944689	1.792725553783916	1.9535092402477436	1.7603583175329194	2.3425286681034723	0.2517343992246078	0.12291918397172619	0.27138360863338434	0.217423920936825	0.3315682152365461	0.10948822834750037	0.21634957133417682	0.038752722100646425	0.21180781325748577	0.24694538603292088	2.113753199321441	1.3420909155044756	1.9740000390506547	1.3141736071272712	2.0976150571932943	2.128053966708988	1.8870304818269612	2.241609676388203	2.281857900664157	0.3087431279448685	0.17164378432893837	0.15556832929626374	0.19579917787607243	0.2832066007373252	0.26767094020408894	0.649632124180564	0.19292223663923877	1.5870464545703133	1.6586623648895498	1.6769796661639753	1.787921318775241	2.14649083746676	2.0482884673131228	2.345530803426766	1.721485138245533	2.4790095645778467
ZAM2_s9_YZD	0.2927751382943083	0.15074579691233272	0.05855023671590699	0.22134318897790203	0.2616779886901601	0.27281322116796386	0.07282245304778925	0.21575537105023604	0.0	0.11764865995541952	2.361991528427433	1.8787475318285556	2.201429808442512	2.0285830087612533	2.2944513172890084	2.4602860483183515	2.1504241038394807	2.481967986057097	2.232670761763473	0.22170503768119526	0.08935055449001844	0.40954331532885213	0.27349474535787216	0.26302658455205635	0.48082243407505654	0.11750764675080365	0.14359338261780016	0.26483220748336717	0.34421683059097524	2.0595281341218064	1.480186368854723	1.5987579592698618	2.3439677111194044	1.9588273531507554	2.111825996013558	1.9153514489753365	2.512680788978422	0.4428138904205176	0.2701609873844529	0.3239510900057239	0.37875172667288937	0.3982176747318306	0.17739950457366732	0.2638785851089021	0.17718408563569057	0.11230649600910124	0.031207367420838277	2.2708806056745154	1.5128118365282823	2.1393680644484214	1.4933147169336582	2.2821476079578034	2.3085675548910545	2.053902418572758	2.407230615632037	2.4450896796941333	0.44626663364994573	0.2427958531843133	0.34227550876135066	0.20404496637846764	0.38667240940726116	0.25954236440761363	0.7974025188867709	0.27684311980076237	1.76890145295861	1.828100902962382	1.8326846005406494	1.9509753691181815	2.3024985803369824	2.2101886254213388	2.5167613025173377	1.881532914217203	2.6497549629186476
ZAM2_s10_YZD	0.27930460444207345	0.13065311399160334	0.07094229730484224	0.12655938347798887	0.14796583861398424	0.17067646426007177	0.04487035701303489	0.11764986659740101	0.11764865995541952	0.0	2.313827934558681	1.8208073222644423	2.15519318416154	1.97793801577185	2.226804688990834	2.388807864574265	2.1001678270146265	2.433111178055659	2.180578282583222	0.10862357867237274	0.12617834024341454	0.29255288956555203	0.1612575969260413	0.15036071142297866	0.3633629541258283	0.05205322226974287	0.03534153050534871	0.1617037971380937	0.22675809412709988	2.001132034919172	1.4174720009123474	1.5484361266665825	2.2778275264919983	1.9047872081241435	2.0635033536113623	1.8692551838887341	2.455824628828564	0.36699606257195977	0.15277417248191383	0.3242307366385486	0.3213302311929512	0.3949060253980198	0.06220904646746926	0.17070430859287464	0.08563240247047639	0.09606763143264394	0.14642205851735726	2.2234835582051575	1.4550554649342773	2.085955168196196	1.429098738932811	2.2138355234021057	2.2435594663087683	1.9993404221978772	2.3537352281173893	2.3933646607499375	0.40493931035015374	0.22461939943187004	0.26795251547063603	0.12149227410980075	0.28160704496271616	0.19366194745790785	0.7539537097182855	0.17161058149086267	1.7026543214321368	1.7715145505209708	1.7860291504223724	1.899158704147859	2.2559098910886446	2.1593398976566385	2.459085903683163	1.8318383885492224	2.5924829784732606
