Eigvals	3
94.70327499720193	25.045194127875966	0.0

Proportion explained	3
0.9346328078051511	0.06536719219484885	0.0

Species	361	3
ASV1	0.34041935947139984	0.2096938386736793	0.0
ASV2	-0.3922931558955428	0.2988387903550111	0.0
ASV3	-0.11347597690720732	0.3286847957821344	0.0
ASV4	-0.3581478911977167	0.17309198820326852	0.0
ASV5	0.16536305718439773	0.09604458096731944	0.0
ASV6	-0.15503538205908543	0.11941082139794634	0.0
ASV7	-0.09967841587288322	0.1455428869336558	0.0
ASV8	-0.13777844569380318	0.12556875312332677	0.0
ASV9	0.17017330849586715	-0.03647036464993852	0.0
ASV10	0.1173012255882786	0.08288494122464855	0.0
ASV11	0.018456305898736425	0.10542583834061964	0.0
ASV12	0.1127966403383899	0.089158437230078	0.0
ASV13	0.08360501498791818	0.09880624629736412	0.0
ASV14	0.11892268798011688	-0.002953111293977497	0.0
ASV15	0.018088509594212505	0.11250896487247666	0.0
ASV16	-0.07198988902873102	0.11298405560882069	0.0
ASV17	0.08695065366595618	0.10095139975972309	0.0
ASV18	0.054161473856989766	0.10246396283944642	0.0
ASV19	0.043785844922368325	0.11330100141006709	0.0
ASV20	0.02352086566393169	0.07388563985470932	0.0
ASV21	-0.08219705714726606	0.10329170183572395	0.0
ASV22	0.033429600300160525	0.0730907905641872	0.0
ASV23	0.07541817945408584	0.0810848828315852	0.0
ASV24	0.0013422671014337874	0.07663464130879984	0.0
ASV25	0.0928733277486637	0.0642910576868645	0.0
ASV26	0.060371579813551145	0.035602824113043594	0.0
ASV27	-0.018493765856724482	0.0759590120293138	0.0
ASV28	0.08121505721546063	0.054963036141257984	0.0
ASV29	0.05028769392466664	0.056065994320467195	0.0
ASV30	-0.035239116436359526	0.0806505622412685	0.0
ASV31	-0.033643764058810276	0.0701548330241399	0.0
ASV32	0.033487801787905946	0.04301960064560218	0.0
ASV33	0.02225400074084763	0.11656728894300095	0.0
ASV34	0.059754116298335186	0.0329944273870622	0.0
ASV35	0.021026268870885705	0.05267833583764818	0.0
ASV36	0.08894069813767101	0.07334440379000107	0.0
ASV37	0.013459562153718536	0.06681959802954822	0.0
ASV38	0.059059181155105916	0.07712626437795808	0.0
ASV39	0.11346151415962763	0.01861022266500747	0.0
ASV40	0.028381761361266716	0.03888057236236798	0.0
ASV41	-0.06450095994768609	0.09199947436700957	0.0
ASV42	-0.02255838591789395	0.025997386804970893	0.0
ASV43	-0.07069764156039449	0.09691340181043447	0.0
ASV44	0.04631436670129964	0.008549266450086704	0.0
ASV45	0.06426721150024203	0.07123707345460452	0.0
ASV46	0.06149832899186344	0.06866861737192029	0.0
ASV47	0.030596282283924112	0.01919758371811382	0.0
ASV48	0.05862527500720593	0.06812547393907117	0.0
ASV49	0.05542706097067401	-0.004404802853088399	0.0
ASV50	0.056554685392763974	0.01664876007265954	0.0
ASV51	0.031863465835376616	0.06969798091170833	0.0
ASV52	0.06878356594895114	0.038100824620285974	0.0
ASV53	0.03631715980941723	0.05583454893181482	0.0
ASV54	0.05521311166981788	0.07865798825359044	0.0
ASV55	0.08052918816750552	0.05648352859115166	0.0
ASV56	0.05749709874316362	0.0673393453711366	0.0
ASV57	-0.00526417870828609	0.023403281268910763	0.0
ASV58	0.019537791788553267	0.0447985702283106	0.0
ASV59	-0.0020615057402878193	0.018716058539695143	0.0
ASV60	0.04278227162378953	-0.017292990240954462	0.0
ASV61	0.04770311079786247	0.004294976132340913	0.0
ASV62	0.04726572221770128	0.06807879407350574	0.0
ASV63	0.08752889985227837	-0.047067459623494734	0.0
ASV64	-0.017999120293312913	0.0030026979136817704	0.0
ASV65	0.03618425161920128	0.012097782351090625	0.0
ASV66	0.025368865694489665	-0.016270628084726072	0.0
ASV67	-0.006372326869555062	0.06239772022021083	0.0
ASV68	0.000411559423653547	-0.007702273847770937	0.0
ASV69	0.02435462080337889	-0.006238501236706423	0.0
ASV70	0.02589576307844473	-0.04159086805396846	0.0
ASV71	0.0724961956942381	-0.03478662246785183	0.0
ASV72	0.06373956576408045	-0.014209535201192523	0.0
ASV73	0.04155767887262483	0.03286043706398098	0.0
ASV74	0.007331202223058637	0.028148864258117804	0.0
ASV75	0.07679668990266927	0.08047917795900877	0.0
ASV76	0.06293524874685916	-0.04044422063004797	0.0
ASV77	-0.01638824519144911	0.03590406973153512	0.0
ASV78	0.039106076052195377	0.04947934959803003	0.0
ASV79	0.008629733337604724	-0.02256130778624434	0.0
ASV80	0.03601895976688438	0.014702678943884941	0.0
ASV81	0.02469879031883098	0.018030043858047583	0.0
ASV82	-0.005343616042046923	0.026477030212202175	0.0
ASV83	0.013107336020456363	0.017313250684376457	0.0
ASV84	0.01860625512101981	0.00021339956198431918	0.0
ASV85	0.036667045387715695	0.053299984349163484	0.0
ASV86	-0.011871401292745607	0.008983569797153763	0.0
ASV87	0.038699107562940094	-0.015076533526935944	0.0
ASV88	-0.030565254372281286	-0.03972023793540114	0.0
ASV89	0.04756643718223707	-0.03109123638467186	0.0
ASV90	0.030055204877570102	0.03464936014890538	0.0
ASV91	0.0030334417527129827	0.03166210807458812	0.0
ASV92	-0.006078245206607397	0.003245089989750923	0.0
ASV93	0.020426199054177623	-0.08590752553338653	0.0
ASV94	0.030813896795163054	0.03383776192939715	0.0
ASV95	-0.013604411474844346	-0.02944630390560033	0.0
ASV96	0.02751922356810174	0.03013681585675326	0.0
ASV97	0.05540273304446175	-0.03531921419830643	0.0
ASV98	0.013276316143156174	-0.02123907347322776	0.0
ASV99	0.00540761420856896	-0.005649717916434969	0.0
ASV100	-0.09633009101810854	-0.029747618410481496	0.0
ASV101	0.030040804198608547	0.0330172891076795	0.0
ASV102	0.02748609733949621	0.038487433492487406	0.0
ASV103	0.03412392953024027	0.03680859546682958	0.0
ASV104	0.04164103963494527	0.04340343691326899	0.0
ASV105	-0.024431078960722306	-0.032027422898788155	0.0
ASV106	-0.012226607993810354	-0.007002381744752909	0.0
ASV107	0.005735176634756924	-0.06932927523147477	0.0
ASV108	0.007445969310089644	0.01361495499503821	0.0
ASV109	0.010530510595938767	0.03366936341227884	0.0
ASV110	0.020502578462449527	0.03727471446390245	0.0
ASV111	0.02800801490275784	-0.00877784688665836	0.0
ASV112	0.030756908962731682	0.035667032347097505	0.0
ASV113	-0.003608839417856333	0.027165977804963125	0.0
ASV114	0.024283822283761417	-0.04862419213709	0.0
ASV115	0.027847479623278697	-0.0012323363509376649	0.0
ASV116	-0.00919256166354419	0.028488860985977877	0.0
ASV117	0.004208946693016928	0.00385350407239713	0.0
ASV118	0.017296666578900086	0.03129239131996456	0.0
ASV119	0.031081325339110778	0.05073807113328261	0.0
ASV120	-0.009316666817982067	-0.024545111402733296	0.0
ASV121	0.009794809789715852	0.02293700786916356	0.0
ASV122	0.03981812001207638	0.03963527578062255	0.0
ASV123	0.018139164187744628	0.007194672796363792	0.0
ASV124	0.01624501119364001	-0.018445188425908064	0.0
ASV125	-0.022247378471622	0.027382919300705678	0.0
ASV126	-0.016063360900604503	0.03989718628421482	0.0
ASV127	0.0264569708896243	0.03506596481482771	0.0
ASV129	0.023489095234949565	0.035628758019093994	0.0
ASV130	0.031097161246693622	-0.016178784808750617	0.0
ASV131	0.027056191356428335	-0.03267320106674575	0.0
ASV132	0.010766816301592968	0.014647938422739395	0.0
ASV133	0.01013264647381191	0.014818114866307002	0.0
ASV134	0.0021072531083906865	-0.0012668216188856522	0.0
ASV135	-0.0005744192085271496	-0.054298749751702555	0.0
ASV136	-0.0037505445753509077	0.00554123005579197	0.0
ASV137	0.027657114641819483	-0.03320021063409086	0.0
ASV138	-0.005921906858037971	0.024111879164360844	0.0
ASV139	0.009052554608653991	-0.00838436161596651	0.0
ASV140	0.007321902043821598	0.007640700347102387	0.0
ASV141	-0.004842865070934086	0.012611733862798395	0.0
ASV142	0.010102099333046653	0.01792726996155109	0.0
ASV143	0.022653392427917286	-0.0929103755563692	0.0
ASV144	0.0028990257593836336	0.008351080341920794	0.0
ASV145	-0.04142188197880819	-0.011837936458541774	0.0
ASV146	0.0054141626037145845	-0.06640791835464396	0.0
ASV147	0.022362877290416618	-0.04815932910679956	0.0
ASV149	-0.005672093366888129	-0.000970297946135929	0.0
ASV150	0.017866180832115913	0.025555612105986666	0.0
ASV151	0.016645946552180442	0.017802246259134624	0.0
ASV152	0.014915652279394592	0.033272764197246674	0.0
ASV153	0.027420542817424936	0.044311302841357966	0.0
ASV154	-0.004128010544444444	-0.034259890613847765	0.0
ASV155	0.007021841788248796	0.01867353638448632	0.0
ASV156	-0.02842704051286228	-0.022263456229857596	0.0
ASV157	0.011361180561098217	0.028007781627947356	0.0
ASV158	-0.0077866110487991354	0.02098998106177417	0.0
ASV159	0.014461233016717758	-0.010555925026671466	0.0
ASV160	-0.030479638441877736	-0.005641979168889571	0.0
ASV161	0.02016636402808665	0.02709266167941598	0.0
ASV162	-0.01231586148958807	-0.06838510292926615	0.0
ASV164	0.0031042551793931915	-0.04499581716520305	0.0
ASV165	0.008634406558229652	0.020137436915275853	0.0
ASV166	0.020312929620946746	-0.049173163145573774	0.0
ASV168	0.007533660842024208	0.023117786950947943	0.0
ASV169	-0.04365788291046503	-0.014620456922912601	0.0
ASV170	0.00010731910958455373	-0.010652081034575819	0.0
ASV171	-0.02906602880471808	-0.012345881941076015	0.0
ASV172	0.011797618307802729	-0.03646961091290007	0.0
ASV173	0.0018868630309981352	-0.0555082086647333	0.0
ASV174	-0.025574533392142055	-0.02103137422847849	0.0
ASV175	0.013268511245333894	0.02712003835459113	0.0
ASV176	0.03638915576819249	-0.02699177826680384	0.0
ASV178	0.027094791472144154	-0.020102119172917706	0.0
ASV179	0.01335839246266059	0.025821944226880243	0.0
ASV181	-0.007294638487995832	-0.00948360940437643	0.0
ASV182	0.0051931074526965545	0.015291364867377793	0.0
ASV183	-0.028233643967911923	0.0008320520389110593	0.0
ASV184	0.00818027807139428	0.0050376452462895065	0.0
ASV186	0.005527406977488507	0.008003116618858974	0.0
ASV187	-0.04052670458107255	-0.02959100139715993	0.0
ASV188	-0.004440525616187974	0.001995854287766598	0.0
ASV189	-0.020774487899924157	-0.01909705438326325	0.0
ASV190	0.014620077341988202	-0.11584838630253312	0.0
ASV191	0.0539016687983417	-0.050878133841828946	0.0
ASV192	0.04339952429240665	-0.05067151761284724	0.0
ASV194	-0.018290490159638295	-0.11888699088793224	0.0
ASV195	-8.15220392559406e-05	0.006681502495084162	0.0
ASV196	-0.031786766162274646	-0.0049822392829999085	0.0
ASV197	-0.0010113061276222765	0.0018368797126849382	0.0
ASV198	-0.0015095996454828828	-0.03859224076894737	0.0
ASV199	-0.01695346998695261	-0.10768490001886785	0.0
ASV200	-0.02313272771350196	-0.011143272918469466	0.0
ASV201	-0.0064690198215551	-0.0016998511125816335	0.0
ASV202	0.011849679262112705	0.002127934458610313	0.0
ASV203	-0.00932042853028965	-0.062174315000747396	0.0
ASV204	-0.005247583268700951	0.008853038006692158	0.0
ASV205	-0.002593184386857183	0.018093936919039814	0.0
ASV206	-0.04116911414156185	-0.03771531142751209	0.0
ASV207	0.05224973455666514	-0.07843137741013068	0.0
ASV208	-0.020626614623281102	-0.07748340212529531	0.0
ASV209	-0.06719191782379787	-0.03831966737115576	0.0
ASV210	0.004659333095549143	-0.09598171892852198	0.0
ASV211	-0.021502505124278867	-0.017294577096709254	0.0
ASV212	-0.014925382463847121	-0.0031941628399880626	0.0
ASV213	-0.012978544104021732	-0.016559091718605534	0.0
ASV214	0.04610726929076875	-0.07314476316095872	0.0
ASV216	0.005320559964537658	0.01912922296637162	0.0
ASV217	0.03635358135946666	-0.03462085296006946	0.0
ASV218	0.011441712904464746	0.02361147982387853	0.0
ASV219	-0.009841309277081328	-0.005931930808185566	0.0
ASV220	0.013245488124938806	-0.007517841625939525	0.0
ASV221	-0.012121943358698758	-0.0030120272380256634	0.0
ASV222	-0.03570023400150404	-0.028664119581958816	0.0
ASV223	-0.0733345640117396	-0.024360663978877508	0.0
ASV224	-0.042112689074956404	-0.014355443976043221	0.0
ASV225	0.006721400542794555	-0.03743230440331106	0.0
ASV226	0.025147450150105503	-0.020773611028171858	0.0
ASV227	-0.02533238535740313	-0.020478904800427224	0.0
ASV228	0.008380557648789049	-0.05601637679645031	0.0
ASV229	-0.0019813645452851545	0.010900781128333805	0.0
ASV230	0.008764171382879889	-0.04639298715935047	0.0
ASV231	0.06011629967332862	-0.05522619206256364	0.0
ASV232	-0.0033595833290466035	0.008313464623148057	0.0
ASV233	-0.01459100944561151	-0.044318702241493556	0.0
ASV234	-0.0008575211225063077	0.015217260403316895	0.0
ASV235	0.011424994000196685	0.01910907886648684	0.0
ASV236	-0.023032847937717822	-0.012543648029859342	0.0
ASV237	-0.03056366069804579	-0.011253686729460897	0.0
ASV238	0.015432688523185278	0.02808824936820735	0.0
ASV239	-0.01701453847894319	-0.041772089047639474	0.0
ASV240	0.0073419700158860075	0.0018245141927116678	0.0
ASV242	-0.004055602974834942	-0.030766177662163732	0.0
ASV243	-0.03519220461799005	-0.013254038750125706	0.0
ASV244	-0.042590428043889746	-0.00924897895266871	0.0
ASV245	-0.012529093639578591	-0.00010305799392030696	0.0
ASV248	0.019674160434965636	-0.10852374212720366	0.0
ASV249	-0.023727550343554508	-0.009348737971384325	0.0
ASV250	-0.04278794975258589	-0.03881297356754463	0.0
ASV251	-0.05910282371895217	-0.020791715753029388	0.0
ASV252	0.010537550427516898	-0.08799186310259344	0.0
ASV254	-0.017254276169211734	-0.0002009100201656884	0.0
ASV255	-0.01886734644458329	-0.00013112214293900006	0.0
ASV256	-0.005639223991244033	0.005591214894253154	0.0
ASV258	0.032072774854866655	-0.0772267768601844	0.0
ASV259	-0.025073875296279045	-0.01863577485707646	0.0
ASV260	-0.03477685892840766	-0.07991943851975365	0.0
ASV261	-0.02124367647362539	-0.015740110399374504	0.0
ASV263	-0.04316079754699841	-0.03573264106706193	0.0
ASV265	-0.0009846442145143885	0.010464351182462632	0.0
ASV266	-0.011688990118714849	0.0015896011542153859	0.0
ASV268	-0.03720666925171821	-0.027477241777802138	0.0
ASV269	0.006949641147961405	-0.1064828045244309	0.0
ASV270	-0.05815397507917743	-0.028523667681220565	0.0
ASV271	-0.0018113930980127467	0.011541608653777695	0.0
ASV272	-0.06520896224863836	-0.050458274262576645	0.0
ASV273	0.019308204684110986	-0.00622801044009538	0.0
ASV274	-0.021951507814142287	-0.0072414494162408236	0.0
ASV275	-0.028257116443119006	-0.02303224545763421	0.0
ASV278	-0.04867053861804879	-0.05890945027432575	0.0
ASV279	0.02421311490489296	-0.017067104979184056	0.0
ASV280	0.00358209037995167	-0.02213627231553898	0.0
ASV281	-0.0656937741974687	-0.028615283966401527	0.0
ASV282	-0.00816409402126984	-0.0004542496490316974	0.0
ASV283	-0.0023246214389516283	0.010149107512938934	0.0
ASV284	-0.003075665205167707	-0.027218071696205402	0.0
ASV285	0.01285783545321853	-0.007048668624610701	0.0
ASV286	-0.01689757761643419	-0.0071143995132064985	0.0
ASV287	-0.030033326755936455	-0.013892277151467956	0.0
ASV289	-0.004128289603858208	0.006538744810456439	0.0
ASV290	-0.001827894573464715	0.008973564353527775	0.0
ASV291	0.019861469031524675	-0.02162935040135146	0.0
ASV292	0.02673925774706956	-0.03695221126623176	0.0
ASV293	-0.009310335212030821	0.0019081903776671553	0.0
ASV294	-0.006526875248018087	0.0009202358760298473	0.0
ASV295	0.08057361499319066	-0.06393696097734258	0.0
ASV296	-0.042985516689751126	-0.021487400115538794	0.0
ASV297	-0.03807890493351874	-0.028998496098628628	0.0
ASV298	-0.09319378837764944	-0.04755843394040206	0.0
ASV300	-0.014306832149915558	-0.09321200186447758	0.0
ASV303	-0.030897491418381308	-0.04631542179822006	0.0
ASV304	0.016479939336705343	-0.005367737307229064	0.0
ASV305	-0.05068424781559795	-0.03876490764620003	0.0
ASV307	0.0041273094124429565	-0.009115795702493826	0.0
ASV309	-0.04417566575439999	-0.026552815759863815	0.0
ASV312	-0.05222136247103314	-0.10035877077804452	0.0
ASV314	-0.04749786508861672	-0.042947637412268605	0.0
ASV315	0.018992823980880903	-0.08325794226303333	0.0
ASV316	-0.017491558133934167	-0.00735340170938109	0.0
ASV317	-0.07048015925888788	-0.05308751863648876	0.0
ASV319	-0.01982165128572002	-0.009968566937721057	0.0
ASV321	-0.01319241269309972	-0.059203183839772515	0.0
ASV322	-0.058787206108677145	-0.03509826315559948	0.0
ASV326	-0.04668722996917538	-0.039975469040193785	0.0
ASV327	-0.026345485477231447	-0.019557685907184656	0.0
ASV329	-0.020453806331723702	-0.005841457158147302	0.0
ASV330	-0.009698435352430172	-0.009430492187674484	0.0
ASV331	-0.0022544840123836555	-0.01034190354278008	0.0
ASV332	-0.06134997694106162	-0.032723104759709236	0.0
ASV333	0.05457212533237706	-0.05653786116554075	0.0
ASV334	-0.08210828128085355	-0.05325315375397623	0.0
ASV335	-0.08463335563110125	-0.0545622138615523	0.0
ASV337	0.0014905525208723511	-0.016254710890265957	0.0
ASV339	-0.036561412451639304	-0.019939725351296803	0.0
ASV340	0.015272623492862902	-0.03310663747011071	0.0
ASV342	-0.014168680193559498	-0.005860187483320362	0.0
ASV344	-0.021417392614441134	-0.028315458466901013	0.0
